Number,Day,Minute,Path,Mother,Mother Genotype,Name,Sex,Offspring Genotype,Genogroup,Recording Number,Start Point (s),End Point (s),Start Point (time),End Point (time),Start Point (Hz),End Point (Hz),Duration (time),Duration (s),ISI_time,ISI,Syllable,Syllable number,Cat. Number,Classification date,Start Time,Time Course,# of Bursts,IBN,BurstDuration_t,BurstDuration,BurstInterval_t,BurstInterval,Unnamed: 33,Unnamed: 34
135,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,4.7175,4.8086,00:00:04.718000,00:00:04.809000,52174.2157,73306.0208,02:11:11.040000,00:00:00.091000,03:17:34.080000,00:00:00.137000,Composite,9.0,3.0,2020-10-13,,12:58:16.809000,4.0,22.0,,,,,,
136,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,4.9348,5.0055,00:00:04.935000,00:00:05.005000,51816.0495,41071.0638,01:41:48.480000,00:00:00.071000,03:01:43.680000,00:00:00.126000,Composite,9.0,3.0,2020-10-13,,12:58:17.006000,4.0,23.0,,,,,,
137,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,5.1599,5.2425,00:00:05.160000,00:00:05.242000,52174.2157,73306.0208,01:58:56.640000,00:00:00.083000,03:42:20.160000,00:00:00.154000,Composite,9.0,3.0,2020-10-13,,12:58:17.243000,4.0,24.0,,,,,,
138,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,5.4016,5.4508,00:00:05.402000,00:00:05.451000,51816.0495,38205.7343,01:10:50.880000,00:00:00.049000,03:49:06.240000,00:00:00.159000,Composite,9.0,3.0,2020-10-13,,12:58:17.451000,4.0,25.0,,,,,,
139,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,5.5843,5.6688,00:00:05.584000,00:00:05.669000,53606.8804,71873.3561,02:01:40.800000,00:00:00.084000,03:12:14.400000,00:00:00.133000,Composite,9.0,3.0,2020-10-13,,12:58:17.669000,4.0,26.0,,,,,,
140,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,5.8076,5.9041,00:00:05.808000,00:00:05.904000,52890.5481,75096.8518,02:18:57.600000,00:00:00.096000,03:19:52.320000,00:00:00.139000,Frequency Steps,8.0,2.0,2020-10-13,,12:58:17.904000,4.0,27.0,,,,,,
141,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,6.0269,6.1179,00:00:06.027000,00:00:06.118000,54681.379,72589.6885,02:11:02.400000,00:00:00.091000,02:56:49.920000,00:00:00.123000,Composite,9.0,3.0,2020-10-13,,12:58:18.118000,4.0,28.0,,,,,,
142,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,6.2527,6.3397,00:00:06.253000,00:00:06.340000,50741.5509,72947.8546,02:05:16.800000,00:00:00.087000,03:14:06.720000,00:00:00.135000,Composite,9.0,3.0,2020-10-13,,12:58:18.340000,4.0,29.0,,,,,,
143,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,6.4766,6.5487,00:00:06.477000,00:00:06.549000,82618.3417,71157.0237,01:43:49.440000,00:00:00.072000,03:17:08.160000,00:00:00.137000,Composite,9.0,3.0,2020-10-13,,12:58:18.549000,4.0,30.0,,,,,,
144,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,6.7699,6.7812,00:00:06.770000,00:00:06.781000,159982.2386,43578.2271,00:16:16.320000,00:00:00.011000,05:18:31.680000,00:00:00.221000,Composite,9.0,3.0,2020-10-13,,12:58:18.781000,4.0,31.0,,,,,,
145,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,6.9462,7.0325,00:00:06.946000,00:00:07.032000,82260.1756,72589.6885,02:04:16.320000,00:00:00.086000,03:57:36,00:00:00.165000,Composite,9.0,3.0,2020-10-13,,12:58:19.033000,4.0,32.0,,,,,,
146,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,7.141,7.2317,00:00:07.141000,00:00:07.232000,56472.2099,38205.7343,02:10:36.480000,00:00:00.091000,02:36:14.400000,00:00:00.109000,Composite,9.0,3.0,2020-10-13,,12:58:19.232000,4.0,33.0,,,,,,
147,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,7.3721,7.4482,00:00:07.372000,00:00:07.448000,58621.2071,72231.5223,01:49:35.040000,00:00:00.076000,03:22:10.560000,00:00:00.140000,Composite,9.0,3.0,2020-10-13,,12:58:19.448000,4.0,34.0,,,,,,
148,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,7.5976,7.6926,00:00:07.598000,00:00:07.693000,50741.5509,73306.0208,02:16:48,00:00:00.095000,03:35:08.160000,00:00:00.149000,Composite,9.0,3.0,2020-10-13,,12:58:19.693000,4.0,35.0,,,,,,
149,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,7.8276,7.9157,00:00:07.828000,00:00:07.916000,56114.0438,44652.7257,02:06:51.840000,00:00:00.088000,03:14:24,00:00:00.135000,Composite,9.0,3.0,2020-10-13,,12:58:19.916000,4.0,36.0,,,,,,
150,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,8.041,8.136,00:00:08.041000,00:00:08.136000,53965.0466,80469.3446,02:16:48,00:00:00.095000,03:00:25.920000,00:00:00.125000,Two-Syllable,7.0,2.0,2020-10-13,,12:58:20.136000,4.0,37.0,,,,,,
151,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,8.25,8.3385,00:00:08.250000,00:00:08.338000,57546.7085,71515.1899,02:07:26.400000,00:00:00.088000,02:44:09.600000,00:00:00.114000,Two-Syllable,7.0,2.0,2020-10-13,,12:58:20.339000,4.0,38.0,,,,,,
152,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,8.4492,8.5493,00:00:08.449000,00:00:08.549000,54323.2128,71873.3561,02:24:08.640000,00:00:00.100000,02:39:24.480000,00:00:00.111000,Frequency Steps,8.0,2.0,2020-10-13,,12:58:20.549000,4.0,39.0,,,,,,
153,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,8.6579,8.7565,00:00:08.658000,00:00:08.757000,58263.0409,71515.1899,02:21:59.040000,00:00:00.099000,02:36:23.040000,00:00:00.109000,Two-Syllable,7.0,2.0,2020-10-13,,12:58:20.757000,4.0,40.0,,,,,,
154,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,8.8626,8.9332,00:00:08.863000,00:00:08.933000,50741.5509,48234.3876,01:41:39.840000,00:00:00.071000,02:32:47.040000,00:00:00.106000,Two-Syllable,7.0,2.0,2020-10-13,,12:58:20.933000,4.0,41.0,,,,,,
155,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,9.0648,9.1664,00:00:09.065000,00:00:09.166000,51816.0495,69008.0266,02:26:18.240000,00:00:00.102000,03:09:30.240000,00:00:00.132000,Frequency Steps,8.0,2.0,2020-10-13,,12:58:21.166000,4.0,42.0,,,,,,
156,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,9.2781,9.3779,00:00:09.278000,00:00:09.378000,51099.7171,71157.0237,02:23:42.720000,00:00:00.100000,02:40:50.880000,00:00:00.112000,Frequency Steps,8.0,2.0,2020-10-13,,12:58:21.378000,4.0,43.0,,,,,,
157,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,9.4879,9.5866,00:00:09.488000,00:00:09.587000,50741.5509,70440.6913,02:22:07.680000,00:00:00.099000,02:38:24,00:00:00.110000,Two-Syllable,7.0,2.0,2020-10-13,,12:58:21.587000,4.0,44.0,,,,,,
158,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,9.701,9.7967,00:00:09.701000,00:00:09.797000,59695.7056,42503.7286,02:17:48.480000,00:00:00.096000,02:44:44.160000,00:00:00.114000,Composite,9.0,3.0,2020-10-13,,12:58:21.797000,4.0,45.0,,,,,,
159,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,9.9267,10.0101,00:00:09.927000,00:00:10.010000,57546.7085,43578.2271,02:00:05.760000,00:00:00.083000,03:07:12,00:00:00.130000,Composite,9.0,3.0,2020-10-13,,12:58:22.010000,4.0,46.0,,,,,,
160,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,10.1336,10.2297,00:00:10.134000,00:00:10.230000,56830.3761,48592.5538,02:18:23.040000,00:00:00.096000,02:57:50.400000,00:00:00.123000,Complex,3.0,1.0,2020-10-13,,12:58:22.230000,4.0,47.0,,,,,,
161,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,10.3627,10.4242,00:00:10.363000,00:00:10.424000,52174.2157,52532.3819,01:28:33.600000,00:00:00.062000,03:11:31.200000,00:00:00.133000,Composite,9.0,3.0,2020-10-13,,12:58:22.424000,4.0,48.0,,,,,,
162,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,10.5772,10.6376,00:00:10.577000,00:00:10.638000,53965.0466,51099.7171,01:26:58.560000,00:00:00.060000,03:40:19.200000,00:00:00.153000,Composite,9.0,3.0,2020-10-13,,12:58:22.638000,4.0,49.0,,,,,,
163,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,10.7931,10.8889,00:00:10.793000,00:00:10.889000,52532.3819,36056.7372,02:17:57.120000,00:00:00.096000,03:43:55.200000,00:00:00.156000,Composite,9.0,3.0,2020-10-13,,12:58:22.889000,4.0,50.0,,,,,,
164,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,11.0116,11.1066,00:00:11.012000,00:00:11.107000,54323.2128,37489.4019,02:16:48,00:00:00.095000,02:56:41.280000,00:00:00.123000,Composite,9.0,3.0,2020-10-13,,12:58:23.107000,4.0,51.0,,,,,,
165,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,11.2191,11.3192,00:00:11.219000,00:00:11.319000,52890.5481,37489.4019,02:24:08.640000,00:00:00.100000,02:42:00,00:00:00.112000,Composite,9.0,3.0,2020-10-13,,12:58:23.319000,4.0,52.0,,,,,,
166,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,11.429,11.528,00:00:11.429000,00:00:11.528000,51816.0495,35698.571,02:22:33.600000,00:00:00.099000,02:38:06.720000,00:00:00.110000,Composite,9.0,3.0,2020-10-13,,12:58:23.528000,4.0,53.0,,,,,,
167,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,11.6453,11.7127,00:00:11.645000,00:00:11.713000,43936.3933,41787.3962,01:37:03.360000,00:00:00.067000,02:48:54.720000,00:00:00.117000,Composite,9.0,3.0,2020-10-13,,12:58:23.713000,4.0,54.0,,,,,,
168,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,11.87,11.9621,00:00:11.870000,00:00:11.962000,50025.2185,38922.0667,02:12:37.440000,00:00:00.092000,03:46:30.720000,00:00:00.157000,Composite,9.0,3.0,2020-10-13,,12:58:23.962000,4.0,55.0,,,,,,
169,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,12.1018,12.2001,00:00:12.102000,00:00:12.200000,48950.72,36414.9034,02:21:33.120000,00:00:00.098000,03:21:10.080000,00:00:00.140000,Composite,9.0,3.0,2020-10-13,,12:58:24.200000,4.0,56.0,,,,,,
170,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,12.3241,12.3827,00:00:12.324000,00:00:12.383000,48592.5538,39280.2329,01:24:23.040000,00:00:00.059000,02:58:33.600000,00:00:00.124000,Composite,9.0,3.0,2020-10-13,,12:58:24.383000,4.0,57.0,,,,,,
171,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,12.5443,12.6037,00:00:12.544000,00:00:12.604000,47518.0552,37847.5681,01:25:32.160000,00:00:00.059000,03:52:42.240000,00:00:00.162000,Composite,9.0,3.0,2020-10-13,,12:58:24.604000,4.0,58.0,,,,,,
172,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_4,6598N-1741O,WT,17471P,M,WT,1.0,T0000004,12.7755,12.8421,00:00:12.775000,00:00:12.842000,43936.3933,39280.2329,01:35:54.240000,00:00:00.067000,04:07:23.520000,00:00:00.172000,Composite,9.0,3.0,2020-10-13,,12:58:24.842000,4.0,59.0,,,,,,
173,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17471P\day_5,6598N-1741O,WT,17471P,M,WT,1.0,,,,,,,,,,,,,,,,12:58:27,,,,,,1900-01-02 03:47:22.560000,00:00:02.158000,,
174,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_3,6598N-1741O,WT,17472I,M,WT,1.0,,,,,,,,,,,,,,,,12:33:39,,,,,,,,,
175,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,0.11814,0.2041,00:00:00.118000,00:00:00.204000,55755.88,46085.39,02:03:46.944000,00:00:00.086000,,,Composite,9.0,3.0,2020-10-08,12:33:40,12:33:40.204000,1.0,1.0,1900-01-10 01:49:14.304000,00:00:10.076000,1900-01-01 00:00:00,00:00:01,,
176,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,0.298,0.3712,00:00:00.298000,00:00:00.371000,46801.72,40712.9,01:45:24.480000,00:00:00.073000,02:15:12.960000,00:00:00.094000,Composite,9.0,3.0,2020-10-08,,12:33:40.371000,1.0,2.0,,,,,,
177,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,0.49965,0.5637,00:00:00.500000,00:00:00.564000,46801.72,50025.22,01:32:13.920000,00:00:00.064000,03:04:58.080000,00:00:00.128000,Composite,9.0,3.0,2020-10-08,,12:33:40.564000,1.0,3.0,,,,,,
178,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,0.66567,0.7367,00:00:00.666000,00:00:00.737000,46085.39,42861.89,01:42:16.992000,00:00:00.071000,02:26:50.208000,00:00:00.102000,Composite,9.0,3.0,2020-10-08,,12:33:40.737000,1.0,4.0,,,,,,
179,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,0.86285,0.947,00:00:00.863000,00:00:00.947000,51099.72,39996.57,02:01:10.560000,00:00:00.084000,03:01:39.360000,00:00:00.126000,Composite,9.0,3.0,2020-10-08,,12:33:40.947000,1.0,5.0,,,,,,
180,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,1.047,1.1257,00:00:01.047000,00:00:01.126000,46443.56,41071.06,01:53:19.680000,00:00:00.079000,02:24:00,00:00:00.100000,Composite,9.0,3.0,2020-10-08,,12:33:41.126000,1.0,6.0,,,,,,
181,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,1.2363,1.3048,00:00:01.236000,00:00:01.305000,43936.39,38563.9,01:38:38.400000,00:00:00.068000,02:39:15.840000,00:00:00.111000,Composite,9.0,3.0,2020-10-08,,12:33:41.305000,1.0,7.0,,,,,,
182,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,1.4172,1.481,00:00:01.417000,00:00:01.481000,46801.72,41429.23,01:31:52.320000,00:00:00.064000,02:41:51.360000,00:00:00.112000,Composite,9.0,3.0,2020-10-08,,12:33:41.481000,1.0,8.0,,,,,,
183,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,1.6042,1.6741,00:00:01.604000,00:00:01.674000,48234.39,42503.73,01:40:39.360000,00:00:00.070000,02:57:24.480000,00:00:00.123000,Composite,9.0,3.0,2020-10-08,,12:33:41.674000,1.0,9.0,,,,,,
184,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,1.8,1.8895,00:00:01.800000,00:00:01.890000,50025.22,42503.73,02:08:52.800000,00:00:00.089000,03:01:17.760000,00:00:00.126000,Composite,9.0,3.0,2020-10-08,,12:33:41.890000,1.0,10.0,,,,,,
185,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,2.0064,2.0847,00:00:02.006000,00:00:02.085000,46443.56,38563.9,01:52:45.120000,00:00:00.078000,02:48:20.160000,00:00:00.117000,Composite,9.0,3.0,2020-10-08,,12:33:42.085000,1.0,11.0,,,,,,
186,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,2.2038,2.3188,00:00:02.204000,00:00:02.319000,45727.22,46085.39,02:45:36,00:00:00.115000,02:51:30.240000,00:00:00.119000,Composite,9.0,3.0,2020-10-08,,12:33:42.319000,1.0,12.0,,,,,,
187,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,2.417,2.5109,00:00:02.417000,00:00:02.511000,50025.22,39280.23,02:15:12.960000,00:00:00.094000,02:21:24.480000,00:00:00.098000,Composite,9.0,3.0,2020-10-08,,12:33:42.511000,1.0,13.0,,,,,,
188,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,2.6247,2.6983,00:00:02.625000,00:00:02.698000,46443.56,40354.73,01:45:59.040000,00:00:00.074000,02:43:52.320000,00:00:00.114000,Composite,9.0,3.0,2020-10-08,,12:33:42.698000,1.0,14.0,,,,,,
189,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,2.8239,2.9065,00:00:02.824000,00:00:02.906000,48234.39,41071.06,01:58:56.640000,00:00:00.083000,03:00:51.840000,00:00:00.126000,Composite,9.0,3.0,2020-10-08,,12:33:42.907000,1.0,15.0,,,,,,
190,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,3.0151,3.0981,00:00:03.015000,00:00:03.098000,48234.39,55039.55,01:59:31.200000,00:00:00.083000,02:36:23.040000,00:00:00.109000,Composite,9.0,3.0,2020-10-08,,12:33:43.098000,1.0,16.0,,,,,,
191,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,3.2098,3.2779,00:00:03.210000,00:00:03.278000,54681.38,57546.71,01:38:03.840000,00:00:00.068000,02:40:50.880000,00:00:00.112000,Composite,9.0,3.0,2020-10-08,,12:33:43.278000,1.0,17.0,,,,,,
192,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,3.3937,3.4552,00:00:03.394000,00:00:03.455000,55039.55,54681.38,01:28:33.600000,00:00:00.062000,02:46:45.120000,00:00:00.116000,Composite,9.0,3.0,2020-10-08,,12:33:43.455000,1.0,18.0,,,,,,
193,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,3.5726,3.6476,00:00:03.573000,00:00:03.648000,54681.38,47159.89,01:48:00,00:00:00.075000,02:49:03.360000,00:00:00.117000,Composite,9.0,3.0,2020-10-08,,12:33:43.648000,1.0,19.0,,,,,,
194,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,3.7654,3.8324,00:00:03.765000,00:00:03.832000,49667.05,44294.56,01:36:28.800000,00:00:00.067000,02:49:37.920000,00:00:00.118000,Composite,9.0,3.0,2020-10-08,,12:33:43.832000,1.0,20.0,,,,,,
195,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,3.9648,4.074,00:00:03.965000,00:00:04.074000,55755.88,43936.39,02:37:14.880000,00:00:00.109000,03:10:39.360000,00:00:00.132000,Composite,9.0,3.0,2020-10-08,,12:33:44.074000,1.0,21.0,,,,,,
196,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,4.1744,4.2512,00:00:04.174000,00:00:04.251000,57904.87,43936.39,01:50:35.520000,00:00:00.077000,02:24:34.560000,00:00:00.100000,Composite,9.0,3.0,2020-10-08,,12:33:44.251000,1.0,22.0,,,,,,
197,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,4.3657,4.4447,00:00:04.366000,00:00:04.445000,56472.21,42145.56,01:53:45.600000,00:00:00.079000,02:44:52.800000,00:00:00.115000,Composite,9.0,3.0,2020-10-08,,12:33:44.445000,1.0,23.0,,,,,,
198,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,4.5552,4.6412,00:00:04.555000,00:00:04.641000,48592.55,86558.17,02:03:50.400000,00:00:00.086000,02:39:07.200000,00:00:00.111000,Composite,9.0,3.0,2020-10-08,,12:33:44.641000,1.0,24.0,,,,,,
199,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17472I\day_4,6598N-1741O,WT,17472I,M,WT,1.0,T0000001,4.7732,4.8453,00:00:04.773000,00:00:04.845000,60412.04,42503.73,01:43:49.440000,00:00:00.072000,03:10:04.800000,00:00:00.132000,Composite,9.0,3.0,2020-10-08,,12:33:44.845000,1.0,25.0,,,,,,
